titulo,usuario,tiempo,me_gusta,comentario
QUÉ ES UNA API | Te lo explico en 3 minutos!,@Sam-pq2pk,hace 1 año,,que buen video mi pana. Muy agradecido oyó
QUÉ ES UNA API | Te lo explico en 3 minutos!,@jaimesanchezgalvis,hace 2 años,,Muy crack tus explicaciones son lo maximo muchas gracias
QUÉ ES UNA API | Te lo explico en 3 minutos!,@likea_birdd,hace 2 años,,Muy buena explicación 
QUÉ ES UNA API | Te lo explico en 3 minutos!,@yousseftribak7835,hace 2 años,,mas claro que el agua gracias bro
QUÉ ES UNA API | Te lo explico en 3 minutos!,@heberdavidrangelhernandez3488,hace 2 años,,"Despues de ver varios videos, este fue el único que me sirvió. Muchas gracias"
QUÉ ES UNA API | Te lo explico en 3 minutos!,@diegolozano2397,hace 2 años,,SIMPLE PERO EFECTIVO
QUÉ ES UNA API | Te lo explico en 3 minutos!,@maxmanuelcam,hace 2 años,,good!
QUÉ ES UNA API | Te lo explico en 3 minutos!,@LilianaSuarezL,hace 3 años,,Excelente!  Gracias!!
QUÉ ES UNA API | Te lo explico en 3 minutos!,@leapazmaureiraquezada8685,hace 3 años,,te amo!!! gracias por la info
QUÉ ES UNA API | Te lo explico en 3 minutos!,@drfcozapata,hace 3 años,,"Magistralmente explicado.. Me quito el sombrero. GRACIAS!!!
Al fin entendí este rollo de las API."
QUÉ ES UNA API | Te lo explico en 3 minutos!,@pablobara4954,hace 3 años,,"Leonardo preciso un trabajo de scraping, te contacte por linkedin. Saludos"
QUÉ ES UNA API | Te lo explico en 3 minutos!,@anthonyleon6934,hace 3 años (editado),2,el mejor vídeo de que es una API si es cierto que no es lo mas detalladamente posible pero para que? seremos programadores? no solo nos interesa por que queremos saber lo que es y para que sirve si mas.. gracias por explicarlo en simples palabras like!!
QUÉ ES UNA API | Te lo explico en 3 minutos!,@jhosefroberth6816,hace 3 años,,En síntesis un API es una herramienta dentro de las librerías que tiene una interfaz o un sistema más complejo
